SONG_ID  ,ARTIST_ID,SONG_TITLE    ,SONG_WRITER,LENGTH_SECONDS,
1,1,Believe  ,Brian Higgin,241,
2,1,If I Could Turn Back Time  ,Diane Warren,243,
3,1,Heart of Stone  ,Andy Hill,260,
4,1,Just Like Jesse James  ,Desmond Warren,247,
5,1,Save Up All Your Tears  ,Warren Child,240,
6,1,After All ,Tom Snow,247,
7,1,I Found Someone  ,Michael Bolton,226,
8,1,One by One,Anthony Griffiths,246,
9,1,Strong Enough  ,Mark Taylor,223,
10,1,All or Nothing  ,Barry Taylor,240,
11,1,Song for the Lonely,Barry Taylor,209,
12,1,Take Me Home,Bob Esty,206,
13,1,The Shoop Shoop Song,Rudy Clark,173,
14,1,All I Really Want to Do  ,Bob Dylan,178,
15,1,Bang Bang My Baby Shot Me Down ,Sonny Bono,234,
16,1,Half-Breed  ,Mary Dean,166,
17,1,"Gypsys, Tramps & Thieves  ",Bob Stone,158,
18,1,Dark Lady  ,Johnny Durrill,209,
19,1,The Beat Goes On,Bono,209,
20,1,I Got You Babe,Bono,189,
21,1,A Different Kind of Love Song,Johan Aberg,291,
22,2,Roll Me Away  ,Bob Seger,276,
23,2,Night Moves  ,Bob Seger,325,
24,2,Turn the Page  ,Bob Seger,301,
25,2,You'll Accomp'ny Me  ,Bob Seger,239,
26,2,Hollywood Nights  ,Bob Seger,299,
27,2,Still the Same  ,Bob Seger,199,
28,2,Old Time Rock and Roll,George Jackson,192,
29,2,We've Got Tonight  ,Bob Seger,278,
30,2,Against the Wind  ,Bob Seger,332,
31,2,Mainstreet  ,Bob Seger,222,
32,2,The Fire Inside  ,Bob Seger,353,
33,2,Like a Rock  ,Bob Seger,335,
34,2,Cest la Vie,Chuck Berry,178,
35,2,In Your Time  ,Bob Seger,185,
36,3,Bright Side of the Road,Van Morrison,225,
37,3,Gloria,Van Morrison,157,
38,3,Moondance,Van Morrison,271,
39,3,"Baby, Please Don't Go",Big Joe Williams,183,
40,3,Have I Told You Lately,Van Morrison,258,
41,3,Brown Eyed Girl,Van Morrison,183,
42,3,Sweet Thing,Van Morrison,262,
43,3,Warm Love,Van Morrison,201,
44,3,Wonderful Remark,Van Morrison,238,
45,3,Jackie Wilson Said,Van Morrison,177,
46,3,Full Force Gale,Van Morrison,192,
47,3,And It Stoned Me,Van Morrison,270,
48,3,Here Comes the Night ,Bert Berns,166,
49,3,Domino,Van Morrison,188,
50,3,Did Ye Get Healed?,Van Morrison,246,
51,3,Wild Night,Van Morrison,211,
52,3,Cleaning Windows,Van Morrison,282,
53,3,Whenever God Shines His Light ,Cliff Richard,294,
54,3,Queen of the Slipstream,Van Morrison,293,
55,3,Dweller on the Threshold ,Hugh Murphy,287,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
